gene_id	gene_symbol	description	scientific_name	common_name	tax_id	genomic_range	orientation	location	gene_type	transcript_accession	transcript_name	transcript_length	transcript_cds_coords	protein_accession	isoform_name	protein_length	protein_name
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	XM_047448139.1	transcript variant X8	5623	XM_047448139.1:1211-2209	XP_047304095.1	isoform X6	332	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001387801.1	transcript variant 71	5569	NM_001387801.1:1211-2155	NP_001374730.1	isoform 5	314	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001387811.1	transcript variant 81	5486	NM_001387811.1:1200-2072	NP_001374740.1	isoform 17	290	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001387797.1	transcript variant 67	4930	NM_001387797.1:536-1516	NP_001374726.1	isoform 14	326	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001376839.1	transcript variant 31	4864	NM_001376839.1:524-1450	NP_001363768.1	isoform 16	308	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001376840.1	transcript variant 32	4810	NM_001376840.1:524-1396	NP_001363769.1	isoform 17	290	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001376845.1	transcript variant 37	4774	NM_001376845.1:524-1360	NP_001363774.1	isoform 18	278	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001387822.1	transcript variant 92	4705	NM_001387822.1:524-1291	NP_001374751.1	isoform 35	255	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001387831.1	transcript variant 101	4501	NM_001387831.1:524-1087	NP_001374760.1	isoform 40	187	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001387821.1	transcript variant 91	4639	NM_001387821.1:425-1225	NP_001374750.1	isoform 19	266	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001376823.1	transcript variant 15	6256	NM_001376823.1:1640-2842	NP_001363752.1	isoform 11	400	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001376829.1	transcript variant 21	6202	NM_001376829.1:1640-2788	NP_001363758.1	isoform 1	382	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001376822.1	transcript variant 14	5885	NM_001376822.1:1269-2471	NP_001363751.1	isoform 11	400	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001376824.1	transcript variant 16	5849	NM_001376824.1:1269-2435	NP_001363753.1	isoform 3	388	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001376827.1	transcript variant 19	5831	NM_001376827.1:1269-2417	NP_001363756.1	isoform 1	382	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001376831.1	transcript variant 23	5795	NM_001376831.1:1269-2381	NP_001363760.1	isoform 2	370	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001376842.1	transcript variant 34	4868	NM_001376842.1:582-1454	NP_001363771.1	isoform 17	290	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001376846.1	transcript variant 38	4832	NM_001376846.1:582-1418	NP_001363775.1	isoform 18	278	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001376849.1	transcript variant 41	4737	NM_001376849.1:582-1298	NP_001363778.1	isoform 21	238	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001376848.1	transcript variant 40	4727	NM_001376848.1:582-1313	NP_001363777.1	isoform 20	243	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001376843.1	transcript variant 35	4806	NM_001376843.1:520-1392	NP_001363772.1	isoform 17	290	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001376818.1	transcript variant 10	5663	NM_001376818.1:954-2249	NP_001363747.1	isoform 10	431	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	XM_005247461.5	transcript variant X2	5627	XM_005247461.5:954-2213	XP_005247518.1	isoform X2	419	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001387782.1	transcript variant 52	5609	NM_001387782.1:954-2195	NP_001374711.1	isoform 23	413	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001387784.1	transcript variant 54	5573	NM_001387784.1:954-2159	NP_001374713.1	isoform 24	401	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001387799.1	transcript variant 69	5655	NM_001387799.1:1261-2241	NP_001374728.1	isoform 29	326	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001387805.1	transcript variant 75	6126	NM_001387805.1:1786-2712	NP_001374734.1	isoform 16	308	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001376820.1	transcript variant 12	5570	NM_001376820.1:954-2156	NP_001363749.1	isoform 11	400	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001376832.1	transcript variant 24	5475	NM_001376832.1:954-2036	NP_001363761.1	isoform 12	360	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_207293.2	transcript variant 3	5534	NM_207293.2:954-2120	NP_997176.1	isoform 3	388	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001376833.1	transcript variant 25	5439	NM_001376833.1:954-2000	NP_001363762.1	isoform 9	348	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_021038.5	transcript variant 1	5516	NM_021038.5:954-2102	NP_066368.2	isoform 1	382	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_207297.2	transcript variant 7	5421	NM_207297.2:954-1982	NP_997180.1	isoform 7	342	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_207292.3	transcript variant 2	5480	NM_207292.3:954-2066	NP_997175.1	isoform 2	370	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001376836.1	transcript variant 28	5385	NM_001376836.1:954-1946	NP_001363765.1	isoform 13	330	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001387789.1	transcript variant 59	5411	NM_001387789.1:954-1997	NP_001374718.1	isoform 25	347	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_207296.2	transcript variant 6	5390	NM_207296.2:954-1976	NP_997179.1	isoform 6	340	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001387819.1	transcript variant 89	5231	NM_001387819.1:954-1817	NP_001374748.1	isoform 33	287	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001387794.1	transcript variant 64	5366	NM_001387794.1:954-1952	NP_001374723.1	isoform 27	332	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	XM_047448145.1	transcript variant X14	5271	XM_047448145.1:954-1832	XP_047304101.1	isoform X12	292	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001376838.1	transcript variant 30	5330	NM_001376838.1:954-1916	NP_001363767.1	isoform 15	320	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_207295.2	transcript variant 5	5312	NM_207295.2:954-1898	NP_997178.1	isoform 5	314	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001387820.1	transcript variant 90	5217	NM_001387820.1:954-1778	NP_001374749.1	isoform 34	274	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_207294.2	transcript variant 4	5276	NM_207294.2:954-1862	NP_997177.1	isoform 4	302	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	XM_047448147.1	transcript variant X16	5181	XM_047448147.1:954-1742	XP_047304103.1	isoform X14	262	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001387813.1	transcript variant 83	4716	NM_001387813.1:430-1302	NP_001374742.1	isoform 17	290	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001387806.1	transcript variant 76	5283	NM_001387806.1:943-1869	NP_001374735.1	isoform 16	308	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001387815.1	transcript variant 85	5229	NM_001387815.1:943-1815	NP_001374744.1	isoform 17	290	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001314057.2	transcript variant 8	4785	NM_001314057.2:340-1371	NP_001300986.1	isoform 8	343	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001387791.1	transcript variant 61	4727	NM_001387791.1:279-1313	NP_001374720.1	isoform 26	344	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	XM_047448143.1	transcript variant X12	4632	XM_047448143.1:279-1193	XP_047304099.1	isoform X10	304	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	XM_047448140.1	transcript variant X9	4691	XM_047448140.1:279-1277	XP_047304096.1	isoform X7	332	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001376837.1	transcript variant 29	4673	NM_001376837.1:279-1259	NP_001363766.1	isoform 14	326	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	XM_047448146.1	transcript variant X15	4578	XM_047448146.1:279-1139	XP_047304102.1	isoform X13	286	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001387803.1	transcript variant 73	4637	NM_001387803.1:279-1223	NP_001374732.1	isoform 31	314	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	XM_047448148.1	transcript variant X17	4469	XM_047448148.1:279-1055	XP_047304104.1	isoform X15	258	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	XM_047448149.1	transcript variant X18	4433	XM_047448149.1:279-1019	XP_047304105.1	isoform X16	246	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001387798.1	transcript variant 68	4670	NM_001387798.1:276-1256	NP_001374727.1	isoform 14	326	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001387814.1	transcript variant 84	5109	NM_001387814.1:823-1695	NP_001374743.1	isoform 17	290	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001387812.1	transcript variant 82	4759	NM_001387812.1:473-1345	NP_001374741.1	isoform 17	290	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001387800.1	transcript variant 70	4611	NM_001387800.1:220-1197	NP_001374729.1	isoform 30	325	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001387804.1	transcript variant 74	4607	NM_001387804.1:267-1193	NP_001374733.1	isoform 16	308	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001387809.1	transcript variant 79	4571	NM_001387809.1:267-1157	NP_001374738.1	isoform 32	296	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001376841.1	transcript variant 33	4553	NM_001376841.1:267-1139	NP_001363770.1	isoform 17	290	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001387825.1	transcript variant 95	4458	NM_001387825.1:267-1019	NP_001374754.1	isoform 36	250	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001376844.1	transcript variant 36	4517	NM_001376844.1:267-1103	NP_001363773.1	isoform 18	278	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001376851.1	transcript variant 42	4422	NM_001376851.1:267-983	NP_001363780.1	isoform 21	238	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001387823.1	transcript variant 93	4448	NM_001387823.1:267-1034	NP_001374752.1	isoform 35	255	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001387830.1	transcript variant 100	4268	NM_001387830.1:267-854	NP_001374759.1	isoform 39	195	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001387828.1	transcript variant 98	4349	NM_001387828.1:267-935	NP_001374757.1	isoform 38	222	muscleblind-like protein 1
